Filename,SMILES
molecule_1033.sdf,COCC(=O)N1CCN(C(=O)Nc2ccccc2)C[C@@H]1C(=O)N[C@@H](Cc1ccc(OC)cc1)C(=O)OC
molecule_1034.sdf,O=C(C[C@@H]1CCNC[C@@H]1Cc1cc(-c2ccccn2)on1)NCc1ccccc1
molecule_1035.sdf,Cn1nc(C2CCCC2)cc1[C@H]1CN2CC[C@H]1C[C@@H]2CNC(=O)Nc1cccc(C#N)c1
molecule_1036.sdf,CC(=O)c1ccc(NC(=O)OC[C@H]2C[C@@H]3CCN2C[C@@H]3c2cc(-c3ccc4ccccc4c3)nn2C)cc1
molecule_1037.sdf,CSc1cccc(NC(=O)NC[C@H]2C[C@@H]3CCN2C[C@@H]3CN2CCN(c3ccccc3)CC2)c1
molecule_1038.sdf,O=C(NC[C@H]1C[C@@H]2CCN1C[C@@H]2CN1CCN(c2ccccc2)CC1)c1ccc2c(c1)OCO2
molecule_1039.sdf,COc1ccccc1N1CCN(C[C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)c2ccc3c(c2)OCO3)CC1
molecule_104.sdf,CN(C)CC(=O)N1C[C@@H]2C[C@H](C1)c1c(-c3cccc(C#N)c3)ccc(=O)n1C2
molecule_1040.sdf,C#CCNC(=O)C[C@@H]1O[C@H](CNC(=O)c2ccc(C)cc2)[C@@H](O)[C@H]1O
molecule_1041.sdf,O=C(NC[C@H]1C[C@@H]2CCN1C[C@@H]2CN1CCN(c2ccccn2)CC1)c1ccc2c(c1)OCO2
molecule_1042.sdf,COc1ccc(-c2cc([C@H]3CN4CC[C@H]3C[C@@H]4COC(=O)Nc3ccc(C(C)=O)cc3)nc(C)n2)cc1
molecule_1043.sdf,CCCS(=O)(=O)NC[C@H]1C[C@@H]2CCN1C[C@@H]2c1cc(-c2ccc(OC)c(OC)c2)nc(C)n1
molecule_1044.sdf,CS(=O)(=O)NC[C@H]1O[C@@H](CC(=O)NC2CC2)[C@H](O)[C@@H]1O
molecule_1045.sdf,CC(C)NC(=O)C[C@@H]1O[C@H](CNC(=O)C2CCCC2)[C@@H](O)[C@H]1O
molecule_1046.sdf,O=C(C[C@@H]1O[C@H](CNC(=O)C2CCCC2)[C@@H](O)[C@H]1O)NC1CC1
molecule_1047.sdf,CC(=O)NC[C@H]1O[C@@H](CC(=O)NC(C)C)[C@H](O)[C@@H]1O
molecule_1048.sdf,COc1ccc(C(=O)NC[C@H]2O[C@@H](CC(=O)NC(C)C)[C@H](O)[C@@H]2O)cc1
molecule_1049.sdf,CC(C)NC(=O)C[C@@H]1O[C@H](CNC(=O)C2CC2)[C@@H](O)[C@H]1O
molecule_105.sdf,CN(C)Cc1ccccc1-c1ccc2n(c1=O)C[C@H]1C[C@@H]2CN(C(=O)c2cccs2)C1
molecule_1050.sdf,COc1cccc(NC(=O)NC[C@H]2O[C@@H](CC(=O)N3CCc4ccccc43)[C@H](O)[C@@H]2O)c1
molecule_1051.sdf,Cc1ccc(C(=O)NC[C@H]2O[C@@H](CC(=O)N3CCC(C)CC3)[C@H](O)[C@@H]2O)cc1
molecule_1052.sdf,O=C(C[C@@H]1CCNC[C@@H]1Cc1cc(-c2ccccc2)on1)N1CCN(c2ccccc2)CC1
molecule_1053.sdf,COc1ccc(-c2cc(C[C@H]3CNCC[C@H]3CC(=O)NC(C)(C)C)no2)cc1
molecule_1054.sdf,O=C(C[C@@H]1O[C@H](CNC(=O)c2ccccc2)[C@@H](O)[C@H]1O)NCc1cccnc1
molecule_1055.sdf,O=C(C[C@@H]1O[C@H](CNC(=O)Nc2ccccc2)[C@@H](O)[C@H]1O)NCc1cccnc1
molecule_1056.sdf,CC(C)NC(=O)NC[C@H]1O[C@@H](CC(=O)NCc2cccnc2)[C@H](O)[C@@H]1O
molecule_1057.sdf,CC(C)NC(=O)NC[C@H]1O[C@@H](CC(=O)NCCN(C)C)[C@H](O)[C@@H]1O
molecule_1058.sdf,CC(C)NC(=O)C[C@@H]1O[C@H](CN(C[C@H]2O[C@@H](CC(=O)NC(C)C)[C@H](O)[C@@H]2O)S(C)(=O)=O)[C@@H](O)[C@H]1O
molecule_1059.sdf,O=C(C[C@@H]1CCNC[C@@H]1Cc1cc(CC2CCCCC2)on1)N1CCOCC1
molecule_106.sdf,CC(C)NC(=O)N1C[C@@H]2C[C@H](C1)c1ccc(-c3ccccc3CN(C)C)c(=O)n1C2
molecule_1060.sdf,CC(C)(C)c1cc(C[C@H]2CNCC[C@H]2CC(=O)NC2CCCCC2)no1
molecule_1061.sdf,CN(Cc1ccccc1)Cc1cc(C[C@H]2CNCC[C@H]2CC(=O)N2CCOCC2)no1
molecule_1062.sdf,CCN(CC)C(=O)C[C@@H]1CCNC[C@@H]1Cc1cc(CC2CCCCC2)on1
molecule_1063.sdf,CC(C)NC(=O)C[C@@H]1CCNC[C@@H]1Cc1cc(CC2CCCCC2)on1
molecule_1064.sdf,Cc1nn(Cc2ccccc2)c(C)c1[C@@H]1C=C[C@@H](NS(=O)(=O)c2ccccc2)C1
molecule_1067.sdf,Cc1nn(Cc2ccccc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)NC(C)C)C1
molecule_1068.sdf,O=C(NC[C@H]1O[C@@H](CC(=O)N2CCc3ccccc32)[C@H](O)[C@@H]1O)c1ccccc1
molecule_1069.sdf,COC[C@H]1CCCN1C(=O)C[C@@H]1O[C@H](CNS(=O)(=O)c2ccccc2)[C@@H](O)[C@H]1O
molecule_107.sdf,O=C(c1ccco1)N1C[C@@H]2C[C@H](C1)c1c(-c3ccc(Cl)cc3)ccc(=O)n1C2
molecule_1070.sdf,COc1ccc(C(=O)N[C@@H]2C=C[C@@H](c3c(C)nn(Cc4ccccc4)c3C)C2)cc1
molecule_1071.sdf,COC[C@H]1CCCN1C(=O)C[C@@H]1O[C@H](CNC(=O)NC(C)C)[C@@H](O)[C@H]1O
molecule_1072.sdf,Cc1ccc(C(=O)NC[C@H]2O[C@@H](CC(=O)NC(C)C)[C@H](O)[C@@H]2O)cc1
molecule_1073.sdf,COc1ccc(CNC(=O)C[C@@H]2O[C@H](CNC(=O)NC(C)C)[C@@H](O)[C@H]2O)cc1
molecule_1074.sdf,COC[C@H]1CCCN1C(=O)C[C@@H]1O[C@H](CNS(C)(=O)=O)[C@@H](O)[C@H]1O
molecule_1075.sdf,COc1ccc(-c2cc(C[C@H]3CNCC[C@H]3CC(=O)NCCN(C)C)no2)cc1
molecule_1076.sdf,O=C(C[C@@H]1CCNC[C@@H]1Cc1cc(-c2ccccc2)on1)NCc1cccs1
