Molecule Name,Confidence Array (Dynamic Columns),Best Log Score (kcal/mol)
molecule_1,-4.061671257019043,-4.091912746429443,-4.148936748504639,-4.4425225257873535,-4.49988317489624,-7.3
molecule_2,-3.773428201675415,-4.300167560577393,-4.512140274047852,-4.553831100463867,-4.558104038238525,-7.3
molecule_3,-3.6280763149261475,-3.9583308696746826,-4.05799674987793,-4.111438274383545,-4.144310474395752,-7.3
molecule_4,-2.178260087966919,-3.506084442138672,-3.917581796646118,-3.9289608001708984,-4.186079502105713,-7.6
molecule_5,-2.6406118869781494,-3.381441831588745,-4.185308456420898,-4.192497253417969,-4.298676490783691,-6.9
molecule_6,-1.6561675071716309,-4.126532554626465,-4.497157096862793,-4.7449846267700195,-5.5384955406188965,-7.3
molecule_7,-3.8111019134521484,-4.012135982513428,-4.131711006164551,-4.326643943786621,-4.6356353759765625,-6.8
molecule_8,-3.449457883834839,-3.5542995929718018,-3.7532780170440674,-4.018412113189697,-4.438721656799316,-6.6
molecule_9,-2.999680995941162,-3.4903693199157715,-3.9711217880249023,-3.9831297397613525,-4.821831226348877,-7.6
molecule_10,-1.9519506692886353,-2.584847927093506,-2.6121509075164795,-3.643146276473999,-4.504033088684082,-8.0
molecule_11,-3.5855355262756348,-3.7090113162994385,-3.8108890056610107,-4.355299472808838,-4.536346912384033,-7.9
molecule_12,-3.246244192123413,-3.6671576499938965,-3.864903688430786,-3.8961575031280518,-4.074048042297363,-7.6
molecule_13,-3.7093617916107178,-3.7696354389190674,-3.922565221786499,-4.091754913330078,-4.279292106628418,-7.6
molecule_14,-2.3058860301971436,-3.5461981296539307,-3.9165196418762207,-4.241117477416992,-4.583961486816406,-7.3
molecule_15,-2.3392369747161865,-3.6706762313842773,-3.709134817123413,-4.239229679107666,-4.61273193359375,-7.0
molecule_16,-4.21914529800415,-4.682247638702393,-4.709963321685791,-4.908077716827393,-5.166022300720215,-7.6
molecule_17,-3.257249116897583,-4.397288799285889,-4.836662292480469,-4.99998664855957,-5.2709641456604,-6.9
molecule_18,-3.5365805625915527,-3.9231979846954346,-3.973651170730591,-4.18143892288208,-4.778848648071289,-7.7
molecule_19,-3.4580376148223877,-4.067169666290283,-4.282102108001709,-5.032849311828613,-5.22629451751709,-7.9
molecule_20,-2.967069387435913,-3.416630506515503,-4.207772254943848,-4.711282730102539,-4.723481178283691,-7.9
molecule_21,-3.5018608570098877,-4.038381099700928,-4.448383331298828,-4.458868980407715,-5.04182767868042,-8.2
molecule_22,-3.566419839859009,-3.694427251815796,-4.138955593109131,-4.673911094665527,-4.789637565612793,-7.3
molecule_23,-2.7778570652008057,-3.110403299331665,-3.14370059967041,-3.4748339653015137,-3.4794328212738037,-7.8
molecule_24,-3.6149258613586426,-3.988523483276367,-3.992070198059082,-4.3511738777160645,-4.8258957862854,-8.0
molecule_25,-3.4172613620758057,-3.9848430156707764,-4.134077548980713,-4.233227729797363,-4.812236785888672,-7.8
molecule_26,-3.534043073654175,-4.151544570922852,-4.787684440612793,-5.617932319641113,-5.712904453277588,-7.0
molecule_27,-4.245234966278076,-4.516946792602539,-5.046364784240723,-5.2313337326049805,-5.2323431968688965,-7.1
molecule_28,-3.5666685104370117,-3.7279672622680664,-3.964200735092163,-4.12851095199585,-4.288827896118164,-6.2
molecule_29,-0.9451000094413757,-0.9806466698646545,-2.59203839302063,-4.370923042297363,-4.6348371505737305,-7.2
molecule_30,-1.828065276145935,-3.3086507320404053,-3.3946707248687744,-3.3995981216430664,-4.301338195800781,-6.5
molecule_31,-3.2353031635284424,-3.2835171222686768,-3.3323891162872314,-4.067038536071777,-4.5765886306762695,-6.9
molecule_32,-3.636885404586792,-3.927835702896118,-4.043996334075928,-4.13093900680542,-4.285554885864258,-7.2
molecule_33,-2.264448642730713,-3.3437960147857666,-3.727979898452759,-4.144291877746582,-4.257420539855957,-7.4
molecule_34,-3.599611759185791,-4.0024094581604,-4.286294937133789,-4.344608306884766,-4.475235462188721,-7.7
molecule_35,-3.0502195358276367,-3.221522569656372,-3.541687250137329,-4.542978286743164,-4.892107963562012,-7.5
molecule_36,-3.2611987590789795,-3.4036710262298584,-3.63429856300354,-4.244524002075195,-4.450953483581543,-6.7
molecule_37,-2.9013266563415527,-3.2375409603118896,-3.4500272274017334,-4.24085807800293,-4.526623725891113,-6.2
molecule_38,-2.924914836883545,-3.196899652481079,-3.744769811630249,-3.745697259902954,-4.662287712097168,-7.0
molecule_39,-2.2116262912750244,-3.1329638957977295,-3.2475078105926514,-3.4144365787506104,-3.5306484699249268,-6.3
molecule_40,-2.963094711303711,-3.159914255142212,-3.458794116973877,-3.93902587890625,-4.506546497344971,-7.2
molecule_41,-2.6615281105041504,-3.598841905593872,-4.106711387634277,-4.699550151824951,-4.882673263549805,-8.2
molecule_42,-4.017792701721191,-4.08928918838501,-4.429299831390381,-4.9048967361450195,-4.924077987670898,-7.7
molecule_43,-3.963374376296997,-3.967876434326172,-4.082418441772461,-4.087319374084473,-4.172053813934326,-7.8
molecule_44,-2.9914567470550537,-3.13680100440979,-3.516977548599243,-3.602393388748169,-4.029356479644775,-6.4
molecule_45,-3.169691801071167,-3.4195196628570557,-3.8060808181762695,-4.060763835906982,-4.643123149871826,-6.5
molecule_46,-3.5838754177093506,-3.6198177337646484,-3.79958176612854,-3.8545093536376953,-4.44862174987793,-7.1
molecule_47,-2.8311352729797363,-3.316876173019409,-3.4655601978302,-3.9519734382629395,-5.256784439086914,-7.2
molecule_48,-2.462926149368286,-2.662513017654419,-3.0762932300567627,-3.193742036819458,-4.179867744445801,-7.2
molecule_49,-1.8117462396621704,-2.954211473464966,-3.5920000076293945,-3.599560260772705,-3.7202959060668945,-7.0
molecule_50,-2.2041618824005127,-2.672314405441284,-2.92816162109375,-3.2051756381988525,-3.228543519973755,-7.4
molecule_51,-3.1584975719451904,-4.234496593475342,-4.31638240814209,-4.58425235748291,-5.422780990600586,-7.1
molecule_52,-3.4150497913360596,-3.6063904762268066,-4.081007480621338,-4.505106449127197,-4.860275745391846,-6.8
molecule_53,-3.887423276901245,-4.031412124633789,-4.416553020477295,-4.487736701965332,-4.634371757507324,-8.1
